episode,total_reward,steps,epsilon,mean_step_reward,timestamp,current_lr
25,-93446.99999999991,1000,0.8822202429488013,-93.44699999999999,2025-09-09T19:47:34.004501,0.0001
26,-16125.699999999975,1000,0.8778091417340573,-16.125700000000002,2025-09-09T19:47:59.455990,0.0001
27,-123310.40000000008,1000,0.8734200960253871,-123.31039999999999,2025-09-09T19:48:32.905036,0.0001
28,-35512.89999999997,1000,0.8690529955452602,-35.5129,2025-09-09T19:48:58.117478,0.0001
29,-20970.69999999995,1000,0.8647077305675338,-20.970700000000004,2025-09-09T19:49:27.719937,0.0001
30,-23795.299999999967,1000,0.8603841919146962,-23.7953,2025-09-09T19:49:53.176284,0.0001
31,-56632.69999999994,1000,0.8560822709551227,-56.6327,2025-09-09T19:50:19.703570,0.0001
32,-49367.49999999989,1000,0.851801859600347,-49.3675,2025-09-09T19:50:55.254618,0.0001
33,-176399.8000000004,1000,0.8475428503023453,-176.3998,2025-09-09T19:51:33.184382,0.0001
34,-114389.59999999995,1000,0.8433051360508336,-114.3896,2025-09-09T19:52:05.336750,0.0001
35,-48275.10000000002,1000,0.8390886103705794,-48.27510000000001,2025-09-09T19:52:33.527876,0.0001
36,-23317.40000000002,1000,0.8348931673187264,-23.317400000000003,2025-09-09T19:52:59.935841,0.0001
37,-38068.099999999984,1000,0.8307187014821328,-38.068099999999994,2025-09-09T19:53:31.077645,0.0001
38,-35877.7,1000,0.8265651079747222,-35.8777,2025-09-09T19:53:58.072138,0.0001
39,-13195.50000000001,1000,0.8224322824348486,-13.1955,2025-09-09T19:54:24.842183,0.0001
40,-22710.299999999974,1000,0.8183201210226743,-22.7103,2025-09-09T19:54:50.850939,0.0001
41,-50758.19999999997,1000,0.8142285204175609,-50.7582,2025-09-09T19:55:20.401387,0.0001
42,-84006.79999999999,1000,0.810157377815473,-84.0068,2025-09-09T19:55:52.680716,0.0001
43,-26085.299999999967,1000,0.8061065909263957,-26.085300000000004,2025-09-09T19:56:19.387304,0.0001
44,-140096.3999999991,1000,0.8020760579717637,-140.09639999999996,2025-09-09T19:56:55.868496,0.0001
